proof_system,alg,parties,net,size,trial,time
plonk,gsz,6,lan,32768,2,66.25
plonk,spdz,6,lan,32768,0,119.145
plonk,spdz,6,lan,32768,1,121.40866666666665
plonk,spdz,6,lan,32768,2,123.28383333333333
plonk,gsz,6,lan,32768,1,66.13966666666666
plonk,gsz,6,lan,32768,0,64.59283333333333
marlin,spdz,6,lan,32768,2,50.975
marlin,spdz,6,lan,32768,1,50.214
marlin,spdz,6,lan,32768,0,51.20799999999999
plonk,spdz,6,lan,16384,2,65.17150000000001
plonk,spdz,6,lan,16384,1,65.42666666666666
plonk,spdz,6,lan,16384,0,65.05883333333334
marlin,gsz,6,lan,32768,2,26.838499999999996
plonk,gsz,6,lan,16384,2,34.9055
marlin,gsz,6,lan,32768,1,26.105999999999998
plonk,gsz,6,lan,16384,1,35.686499999999995
marlin,gsz,6,lan,32768,0,26.64616666666667
plonk,gsz,6,lan,16384,0,35.18566666666667
marlin,spdz,6,lan,16384,2,25.788999999999998
marlin,spdz,6,lan,16384,0,26.163
marlin,spdz,6,lan,16384,1,26.523666666666667
groth16,spdz,6,lan,32768,2,13.851
plonk,spdz,6,lan,8192,2,33.8425
plonk,spdz,6,lan,8192,1,33.88066666666667
plonk,spdz,6,lan,8192,0,33.7915
groth16,spdz,6,lan,32768,1,13.789999999999997
groth16,spdz,6,lan,32768,0,13.715000000000002
marlin,gsz,6,lan,16384,2,13.647999999999998
marlin,gsz,6,lan,16384,1,14.177999999999999
plonk,gsz,6,lan,8192,2,18.24833333333333
marlin,gsz,6,lan,16384,0,13.973
plonk,gsz,6,lan,8192,1,18.18733333333333
plonk,gsz,6,lan,8192,0,18.638166666666667
marlin,spdz,6,lan,8192,2,13.720833333333337
marlin,spdz,6,lan,8192,1,13.801999999999998
marlin,spdz,6,lan,8192,0,13.539999999999997
plonk,spdz,6,lan,4096,2,17.833333333333332
plonk,spdz,6,lan,4096,1,17.713
plonk,spdz,6,lan,4096,0,17.688
groth16,gsz,6,lan,32768,2,7.026500000000001
groth16,gsz,6,lan,32768,1,7.1643333333333326
groth16,spdz,6,lan,16384,2,7.172
groth16,gsz,6,lan,32768,0,7.090500000000001
groth16,spdz,6,lan,16384,1,7.085999999999999
groth16,spdz,6,lan,16384,0,7.179000000000001
marlin,gsz,6,lan,8192,2,7.293
marlin,gsz,6,lan,8192,1,7.322500000000001
marlin,gsz,6,lan,8192,0,7.223000000000002
plonk,gsz,6,lan,4096,2,9.684833333333334
plonk,gsz,6,lan,4096,1,9.7295
plonk,gsz,6,lan,4096,0,9.666166666666667
marlin,spdz,6,lan,4096,2,7.181
marlin,spdz,6,lan,4096,1,7.237000000000001
marlin,spdz,6,lan,4096,0,7.227000000000001
plonk,spdz,6,lan,2048,2,9.785333333333334
plonk,spdz,6,lan,2048,1,9.736666666666666
plonk,spdz,6,lan,2048,0,9.785833333333334
groth16,gsz,6,lan,16384,2,3.776
groth16,gsz,6,lan,16384,0,3.756
groth16,gsz,6,lan,16384,1,3.765
groth16,spdz,6,lan,8192,2,3.8090000000000006
groth16,spdz,6,lan,8192,1,3.8000000000000003
groth16,spdz,6,lan,8192,0,3.776
marlin,gsz,6,lan,4096,2,3.914
marlin,gsz,6,lan,4096,1,3.9281666666666664
plonk,gsz,6,lan,2048,2,5.352999999999999
marlin,gsz,6,lan,4096,0,3.9301666666666666
plonk,gsz,6,lan,2048,1,5.4046666666666665
plonk,gsz,6,lan,2048,0,5.433333333333333
marlin,spdz,6,lan,2048,2,3.98
marlin,spdz,6,lan,2048,1,3.968
marlin,spdz,6,lan,2048,0,3.974
plonk,spdz,6,lan,1024,2,5.841833333333334
plonk,spdz,6,lan,1024,1,5.837
groth16,gsz,6,lan,8192,2,2.0604999999999998
plonk,spdz,6,lan,1024,0,5.839833333333334
groth16,gsz,6,lan,8192,1,2.077
groth16,spdz,6,lan,4096,2,2.125
groth16,gsz,6,lan,8192,0,2.057
groth16,spdz,6,lan,4096,1,2.128
groth16,spdz,6,lan,4096,0,2.126
marlin,gsz,6,lan,2048,2,2.2070000000000003
marlin,gsz,6,lan,2048,1,2.222833333333333
marlin,gsz,6,lan,2048,0,2.23
plonk,gsz,6,lan,1024,2,3.305333333333334
plonk,gsz,6,lan,1024,1,3.2780000000000005
plonk,gsz,6,lan,1024,0,3.279166666666667
marlin,spdz,6,lan,1024,2,2.266
marlin,spdz,6,lan,1024,1,2.266
marlin,spdz,6,lan,1024,0,2.2710000000000004
plonk,spdz,6,lan,512,2,3.278833333333333
plonk,spdz,6,lan,512,1,3.286166666666667
plonk,spdz,6,lan,512,0,3.3026666666666666
groth16,gsz,6,lan,4096,2,1.2249999999999999
groth16,gsz,6,lan,4096,1,1.2146666666666668
groth16,gsz,6,lan,4096,0,1.223
groth16,spdz,6,lan,2048,2,1.317
groth16,spdz,6,lan,2048,1,1.321
groth16,spdz,6,lan,2048,0,1.325
marlin,gsz,6,lan,1024,2,1.3179999999999998
marlin,gsz,6,lan,1024,1,1.3541666666666667
marlin,gsz,6,lan,1024,0,1.313
plonk,gsz,6,lan,512,2,1.9489999999999998
plonk,gsz,6,lan,512,1,1.9305
