proof_system,alg,parties,net,size,trial,time
plonk,spdz,32,lan,1024,2,7.278281249999998
plonk,spdz,32,lan,1024,1,7.2082812500000015
plonk,spdz,32,lan,1024,0,7.5323125
plonk,spdz,16,lan,1024,2,6.3593125
plonk,spdz,16,lan,1024,1,6.5848125
plonk,spdz,8,lan,1024,2,5.9559999999999995
plonk,spdz,8,lan,1024,1,6.007000000000001
plonk,spdz,16,lan,1024,0,6.366937500000001
plonk,spdz,4,lan,1024,1,5.742750000000001
plonk,spdz,4,lan,1024,2,5.9585
plonk,spdz,8,lan,1024,0,5.928625
plonk,spdz,2,lan,1024,0,5.6585
plonk,spdz,2,lan,1024,1,5.6665
plonk,spdz,2,lan,1024,2,5.7125
plonk,spdz,4,lan,1024,0,5.75525
plonk,gsz,32,lan,1024,2,9.8856875
plonk,gsz,32,lan,1024,1,9.83421875
plonk,gsz,32,lan,1024,0,10.110937499999999
plonk,gsz,16,lan,1024,2,4.7459999999999996
plonk,gsz,16,lan,1024,1,4.8675625
plonk,gsz,8,lan,1024,1,3.5002500000000003
plonk,gsz,8,lan,1024,2,3.5246249999999995
plonk,gsz,4,lan,1024,2,3.14025
plonk,gsz,16,lan,1024,0,4.773687499999999
plonk,gsz,4,lan,1024,1,3.1472499999999997
plonk,gsz,8,lan,1024,0,3.512125
plonk,gsz,2,lan,1024,1,3.0164999999999997
plonk,gsz,2,lan,1024,2,3.0265
plonk,gsz,2,lan,1024,0,3.1155
plonk,gsz,4,lan,1024,0,3.1335
marlin,spdz,32,lan,1024,2,2.806187499999999
marlin,spdz,32,lan,1024,1,2.7662812500000014
marlin,spdz,32,lan,1024,0,2.710999999999999
marlin,spdz,16,lan,1024,2,2.441
marlin,spdz,16,lan,1024,1,2.429
marlin,spdz,8,lan,1024,1,2.315
marlin,spdz,8,lan,1024,2,2.297
marlin,spdz,4,lan,1024,1,2.233
marlin,spdz,16,lan,1024,0,2.45
marlin,spdz,4,lan,1024,2,2.24
marlin,spdz,8,lan,1024,0,2.30225
marlin,spdz,2,lan,1024,0,2.202
marlin,spdz,2,lan,1024,1,2.213
marlin,spdz,2,lan,1024,2,2.215
marlin,spdz,4,lan,1024,0,2.23
marlin,gsz,32,lan,1024,2,4.799281250000002
marlin,gsz,32,lan,1024,1,4.60284375
marlin,gsz,32,lan,1024,0,4.68584375
marlin,gsz,16,lan,1024,1,2.0874375
marlin,gsz,16,lan,1024,2,2.0721249999999998
marlin,gsz,8,lan,1024,2,1.4190000000000003
marlin,gsz,8,lan,1024,1,1.431
marlin,gsz,4,lan,1024,2,1.256
marlin,gsz,4,lan,1024,1,1.263
marlin,gsz,16,lan,1024,0,2.1814375
marlin,gsz,8,lan,1024,0,1.423125
marlin,gsz,2,lan,1024,2,1.198
marlin,gsz,2,lan,1024,1,1.192
marlin,gsz,2,lan,1024,0,1.195
marlin,gsz,4,lan,1024,0,1.252
groth16,spdz,32,lan,1024,2,1.029
groth16,spdz,32,lan,1024,1,0.9875352500000001
groth16,spdz,32,lan,1024,0,1.2791562499999998
groth16,spdz,16,lan,1024,2,0.8395646250000001
groth16,spdz,16,lan,1024,1,1.5242500000000005
groth16,spdz,8,lan,1024,2,0.7631458750000001
groth16,spdz,8,lan,1024,1,0.7629095000000001
groth16,spdz,16,lan,1024,0,0.8377838750000002
groth16,spdz,4,lan,1024,1,0.727319
groth16,spdz,4,lan,1024,2,0.73282225
groth16,spdz,8,lan,1024,0,0.76468
groth16,spdz,2,lan,1024,0,0.711746
groth16,spdz,2,lan,1024,2,0.7145535000000001
groth16,spdz,2,lan,1024,1,0.7235255
groth16,spdz,4,lan,1024,0,0.72851425
groth16,gsz,32,lan,1024,2,4.639343750000001
groth16,gsz,32,lan,1024,1,4.644031250000002
groth16,gsz,32,lan,1024,0,4.765125
groth16,gsz,16,lan,1024,2,1.4400625
groth16,gsz,16,lan,1024,1,1.442125
groth16,gsz,8,lan,1024,1,0.654398
groth16,gsz,8,lan,1024,2,0.6591386250000001
groth16,gsz,4,lan,1024,1,0.4543355
groth16,gsz,4,lan,1024,2,0.4465245
groth16,gsz,16,lan,1024,0,1.4446249999999998
groth16,gsz,8,lan,1024,0,0.65021775
groth16,gsz,2,lan,1024,2,0.3982985
groth16,gsz,2,lan,1024,1,0.397177
groth16,gsz,4,lan,1024,0,0.45015825
groth16,gsz,2,lan,1024,0,0.40167200000000003
