proof_system,alg,kb_s,size,trial,time
groth16,spdz,1024,1024,0,5.754
groth16,spdz,2048,1024,0,3.253
groth16,spdz,4096,1024,0,2.013
groth16,spdz,8192,1024,0,1.401
groth16,spdz,16384,1024,0,1.114
groth16,spdz,32768,1024,0,0.911126
groth16,spdz,65536,1024,0,0.835533
plonk,spdz,1024,1024,0,86.419
plonk,spdz,2048,1024,0,45.995
plonk,spdz,4096,1024,0,25.563
plonk,spdz,8192,1024,0,15.7
plonk,spdz,16384,1024,0,10.833
plonk,spdz,32768,1024,0,8.464
plonk,spdz,65536,1024,0,7.259
marlin,spdz,1024,1024,0,20.706
marlin,spdz,2048,1024,0,11.467
marlin,spdz,4096,1024,0,6.884
marlin,spdz,8192,1024,0,4.604
marlin,spdz,16384,1024,0,3.481
marlin,spdz,32768,1024,0,2.871
marlin,spdz,65536,1024,0,2.521
