constraints,proof,infra,trial,time
8,groth16,local,1,0.01154
8,groth16,mpc,1,0.03183
8,marlin,local,1,0.038156
8,marlin,mpc,1,0.049771
8,plonk,local,1,0.063742
8,plonk,mpc,1,0.094193
16,groth16,local,1,0.014988
16,groth16,mpc,1,0.03369
16,marlin,local,1,0.05763
16,marlin,mpc,1,0.069148
16,plonk,local,1,0.123178
16,plonk,mpc,1,0.152547
32,groth16,local,1,0.031834
32,groth16,mpc,1,0.036243
32,marlin,local,1,0.089558
32,marlin,mpc,1,0.105198
32,plonk,local,1,0.173764
32,plonk,mpc,1,0.188319
64,groth16,local,1,0.043176
64,groth16,mpc,1,0.04762
64,marlin,local,1,0.140663
64,marlin,mpc,1,0.160203
64,plonk,local,1,0.296948
64,plonk,mpc,1,0.320964
128,groth16,local,1,0.06983
128,groth16,mpc,1,0.075344
128,marlin,local,1,0.228965
128,marlin,mpc,1,0.24741
128,plonk,local,1,0.508603
128,plonk,mpc,1,0.539848
256,groth16,local,1,0.118227
256,groth16,mpc,1,0.126559
256,marlin,local,1,0.375258
256,marlin,mpc,1,0.401743
256,plonk,local,1,0.779957
256,plonk,mpc,1,0.815574
512,groth16,local,1,0.175348
512,groth16,mpc,1,0.18299
512,marlin,local,1,0.6449
512,marlin,mpc,1,0.681236
512,plonk,local,1,1.39
512,plonk,mpc,1,1.459
1024,groth16,local,1,0.307218
1024,groth16,mpc,1,0.320705
1024,marlin,local,1,1.124
1024,marlin,mpc,1,1.182
1024,plonk,local,1,2.528
1024,plonk,mpc,1,2.631
2048,groth16,local,1,0.55823
2048,groth16,mpc,1,0.571583
2048,marlin,local,1,1.969
2048,marlin,mpc,1,2.103
2048,plonk,local,1,4.217
2048,plonk,mpc,1,4.428
4096,groth16,local,1,0.90281
4096,groth16,mpc,1,0.929845
4096,marlin,local,1,3.541
4096,marlin,mpc,1,3.775
4096,plonk,local,1,7.634
4096,plonk,mpc,1,8.16
8192,groth16,local,1,1.617
8192,groth16,mpc,1,1.699
8192,marlin,local,1,6.555
8192,marlin,mpc,1,7.3
8192,plonk,local,1,14.296
8192,plonk,mpc,1,14.973
16384,groth16,local,1,2.99
16384,groth16,mpc,1,3.87
16384,marlin,local,1,12.139
16384,marlin,mpc,1,13.69
16384,plonk,local,1,26.784
16384,plonk,mpc,1,28.363
32768,groth16,local,1,5.642
32768,groth16,mpc,1,5.806
32768,marlin,local,1,22.443
32768,marlin,mpc,1,24.56
32768,plonk,local,1,49.114
32768,plonk,mpc,1,51.478
65536,groth16,local,1,10.3
65536,groth16,mpc,1,10.386
65536,marlin,local,1,42.18
65536,marlin,mpc,1,46.497
65536,plonk,local,1,89.952
65536,plonk,mpc,1,95.968
131072,groth16,local,1,18.373
131072,groth16,mpc,1,19.245
131072,marlin,local,1,79.505
131072,marlin,mpc,1,88.138
131072,plonk,local,1,170.38
131072,plonk,mpc,1,181.916
262144,groth16,local,1,35.135
262144,groth16,mpc,1,36.312
262144,marlin,local,1,153.591
262144,marlin,mpc,1,172.251
262144,plonk,local,1,324.105
262144,plonk,mpc,1,349.693
524288,groth16,local,1,65.626
524288,groth16,mpc,1,67.964
524288,marlin,local,1,304.84
524288,marlin,mpc,1,339.329
524288,plonk,local,1,642.22
524288,plonk,mpc,1,694.9
1048576,groth16,local,1,127.987
1048576,groth16,mpc,1,132.518
1048576,marlin,local,1,604.835
1048576,marlin,mpc,1,670.507
1048576,plonk,local,1,1260.181
1048576,plonk,mpc,1,1347.804
