constraints,proof,infra,trial,time
8,groth16,lan,1,0.035133
8,marlin,lan,1,0.062725
8,plonk,lan,1,0.089721
16,groth16,lan,1,0.020661
16,marlin,lan,1,0.082774
16,plonk,lan,1,0.145576
32,groth16,lan,1,0.03835
32,marlin,lan,1,0.119491
32,plonk,lan,1,0.206279
64,groth16,lan,1,0.049849
64,marlin,lan,1,0.173409
64,plonk,lan,1,0.33332
128,groth16,lan,1,0.077284
128,marlin,lan,1,0.268426
128,plonk,lan,1,0.56472
256,groth16,lan,1,0.129687
256,marlin,lan,1,0.434431
256,plonk,lan,1,0.863885
512,groth16,lan,1,0.191144
512,marlin,lan,1,0.721901
512,plonk,lan,1,1.546
1024,groth16,lan,1,0.328789
1024,marlin,lan,1,1.256
1024,plonk,lan,1,2.799
2048,groth16,lan,1,0.596927
2048,marlin,lan,1,2.208
2048,plonk,lan,1,4.751
4096,groth16,lan,1,0.98352
4096,marlin,lan,1,4.6
4096,plonk,lan,1,8.96
8192,groth16,lan,1,1.826
8192,marlin,lan,1,7.545
8192,plonk,lan,1,16.881
16384,groth16,lan,1,3.4
16384,marlin,lan,1,14.269
16384,plonk,lan,1,32.107
32768,groth16,lan,1,6.524
32768,marlin,lan,1,26.902
32768,plonk,lan,1,59.23
65536,groth16,lan,1,11.677
65536,marlin,lan,1,51.187
65536,plonk,lan,1,111.433
131072,groth16,lan,1,21.979
131072,marlin,lan,1,98.414
131072,plonk,lan,1,213.779
262144,groth16,lan,1,41.815
262144,marlin,lan,1,191.266
262144,plonk,lan,1,412.792
524288,groth16,lan,1,79.521
