constraints,proof,infra,trial,time
8,groth16,local,1,0.012792
8,groth16,mpc,1,0.121779
8,marlin,local,1,0.036734
8,marlin,mpc,1,0.320209
8,plonk,local,1,0.058887
8,plonk,mpc,1,0.525849
16,groth16,local,1,0.0156
16,groth16,mpc,1,0.134677
16,marlin,local,1,0.057164
16,marlin,mpc,1,0.42575
16,plonk,local,1,0.122498
16,plonk,mpc,1,0.602998
32,groth16,local,1,0.032247
32,groth16,mpc,1,0.108492
32,marlin,local,1,0.089604
32,marlin,mpc,1,0.348665
32,plonk,local,1,0.170786
32,plonk,mpc,1,0.739217
64,groth16,local,1,0.0417
64,groth16,mpc,1,0.143748
64,marlin,local,1,0.141608
64,marlin,mpc,1,0.489687
64,plonk,local,1,0.296604
64,plonk,mpc,1,1.49
128,groth16,local,1,0.069198
128,groth16,mpc,1,0.190821
128,marlin,local,1,0.230833
128,marlin,mpc,1,0.621582
128,plonk,local,1,0.511598
128,plonk,mpc,1,1.224
256,groth16,local,1,0.118963
256,groth16,mpc,1,0.228629
256,marlin,local,1,0.377591
256,marlin,mpc,1,0.80855
256,plonk,local,1,0.783388
256,plonk,mpc,1,1.441
512,groth16,local,1,0.17584
512,groth16,mpc,1,0.287652
512,marlin,local,1,0.640817
512,marlin,mpc,1,1.54
512,plonk,local,1,1.399
512,plonk,mpc,1,2.79
1024,groth16,local,1,0.307105
1024,groth16,mpc,1,0.423802
1024,marlin,local,1,1.124
1024,marlin,mpc,1,1.632
1024,plonk,local,1,2.521
1024,plonk,mpc,1,3.144
2048,groth16,local,1,0.554982
2048,groth16,mpc,1,0.70634
2048,marlin,local,1,1.967
2048,marlin,mpc,1,2.523
2048,plonk,local,1,4.227
2048,plonk,mpc,1,5.78
4096,groth16,local,1,0.90177
4096,groth16,mpc,1,1.51
4096,marlin,local,1,3.534
4096,marlin,mpc,1,4.258
4096,plonk,local,1,7.609
4096,plonk,mpc,1,8.661
8,groth16,local,2,0.011833
8,groth16,mpc,2,0.069107
8,marlin,local,2,0.037438
8,marlin,mpc,2,0.268388
8,plonk,local,2,0.05935
8,plonk,mpc,2,0.520459
16,groth16,local,2,0.015111
16,groth16,mpc,2,0.138633
16,marlin,local,2,0.05813
16,marlin,mpc,2,0.298171
16,plonk,local,2,0.122895
16,plonk,mpc,2,0.609758
32,groth16,local,2,0.031577
32,groth16,mpc,2,0.085498
32,marlin,local,2,0.089963
32,marlin,mpc,2,0.388529
32,plonk,local,2,0.17069
32,plonk,mpc,2,0.749487
64,groth16,local,2,0.041857
64,groth16,mpc,2,0.114166
64,marlin,local,2,0.14085
64,marlin,mpc,2,0.477878
64,plonk,local,2,0.294705
64,plonk,mpc,2,0.911704
128,groth16,local,2,0.06963
128,groth16,mpc,2,0.170258
128,marlin,local,2,0.229339
128,marlin,mpc,2,0.630499
128,plonk,local,2,0.51118
128,plonk,mpc,2,1.198
256,groth16,local,2,0.119193
256,groth16,mpc,2,0.172427
256,marlin,local,2,0.375797
256,marlin,mpc,2,0.74279
256,plonk,local,2,0.790653
256,plonk,mpc,2,1.347
512,groth16,local,2,0.174465
512,groth16,mpc,2,0.350269
512,marlin,local,2,0.65037
512,marlin,mpc,2,1.63
512,plonk,local,2,1.409
512,plonk,mpc,2,2.111
1024,groth16,local,2,0.311883
1024,groth16,mpc,2,0.432496
1024,marlin,local,2,1.128
1024,marlin,mpc,2,1.598
1024,plonk,local,2,2.523
1024,plonk,mpc,2,3.138
2048,groth16,local,2,0.551551
2048,groth16,mpc,2,0.694366
2048,marlin,local,2,1.972
2048,marlin,mpc,2,2.633
2048,plonk,local,2,4.253
2048,plonk,mpc,2,5.17
4096,groth16,local,2,0.895653
4096,groth16,mpc,2,1.54
4096,marlin,local,2,3.509
4096,marlin,mpc,2,4.273
4096,plonk,local,2,7.66
4096,plonk,mpc,2,8.743
8,groth16,local,3,0.010906
8,groth16,mpc,3,0.120854
8,marlin,local,3,0.037202
8,marlin,mpc,3,0.348629
8,plonk,local,3,0.059391
8,plonk,mpc,3,0.432617
16,groth16,local,3,0.015166
16,groth16,mpc,3,0.13299
16,marlin,local,3,0.058321
16,marlin,mpc,3,0.410739
16,plonk,local,3,0.12314
16,plonk,mpc,3,0.628964
32,groth16,local,3,0.031646
32,groth16,mpc,3,0.16226
32,marlin,local,3,0.09091
32,marlin,mpc,3,0.342459
32,plonk,local,3,0.17257
32,plonk,mpc,3,0.695992
64,groth16,local,3,0.042174
64,groth16,mpc,3,0.1108
64,marlin,local,3,0.14391
64,marlin,mpc,3,0.476449
64,plonk,local,3,0.295228
64,plonk,mpc,3,0.9857
128,groth16,local,3,0.069701
128,groth16,mpc,3,0.205253
128,marlin,local,3,0.228684
128,marlin,mpc,3,0.634128
128,plonk,local,3,0.51257
128,plonk,mpc,3,1.73
256,groth16,local,3,0.119736
256,groth16,mpc,3,0.21686
256,marlin,local,3,0.37993
256,marlin,mpc,3,0.65966
256,plonk,local,3,0.778772
256,plonk,mpc,3,1.496
512,groth16,local,3,0.175731
512,groth16,mpc,3,0.289634
512,marlin,local,3,0.646551
512,marlin,mpc,3,1.56
512,plonk,local,3,1.391
512,plonk,mpc,3,2.119
1024,groth16,local,3,0.307403
1024,groth16,mpc,3,0.419466
1024,marlin,local,3,1.12
1024,marlin,mpc,3,1.53
1024,plonk,local,3,2.511
1024,plonk,mpc,3,3.221
2048,groth16,local,3,0.562389
2048,groth16,mpc,3,0.693845
2048,marlin,local,3,1.957
2048,marlin,mpc,3,2.52
2048,plonk,local,3,4.236
2048,plonk,mpc,3,5.46
4096,groth16,local,3,0.89596
4096,groth16,mpc,3,1.65
4096,marlin,local,3,3.54
4096,marlin,mpc,3,4.289
4096,plonk,local,3,7.597
4096,plonk,mpc,3,8.574
