proof_system,alg,parties,net,size,trial,time
marlin,gsz,3,lan,8192,0,7.199333333333333
plonk,local,1,cohost,8192,0,16.375
plonk,spdz,2,lan,4096,0,17.14
plonk,spdz,3,lan,4096,0,17.335666666666665
marlin,spdz,2,lan,8192,0,13.331
marlin,spdz,3,lan,8192,0,13.39
plonk,gsz,3,lan,8192,0,18.052
plonk,gsz,3,lan,4096,0,9.390666666666666
groth16,spdz,3,lan,8192,0,3.7580000000000005
plonk,local,1,cohost,4096,0,8.538
marlin,local,1,cohost,8192,0,7.44
marlin,spdz,2,lan,4096,0,7.045
marlin,spdz,3,lan,4096,0,7.119
plonk,spdz,2,lan,8192,0,32.798
plonk,spdz,2,lan,2048,0,9.522
plonk,spdz,3,lan,2048,0,9.534999999999998
plonk,spdz,3,lan,8192,0,33.355
groth16,spdz,2,lan,8192,0,3.785
groth16,local,1,cohost,8192,0,1.827
plonk,local,1,cohost,2048,0,4.693
marlin,local,1,cohost,4096,0,3.972
plonk,gsz,3,lan,2048,0,5.182
marlin,spdz,2,lan,2048,0,3.878
marlin,gsz,3,lan,4096,0,3.8250000000000006
groth16,gsz,3,lan,8192,0,1.9669999999999999
marlin,spdz,3,lan,2048,0,3.89
plonk,spdz,2,lan,1024,0,5.641500000000001
plonk,spdz,3,lan,1024,0,5.708666666666666
groth16,spdz,2,lan,4096,0,2.085
groth16,spdz,3,lan,4096,0,2.078
plonk,local,1,cohost,1024,0,2.8
marlin,local,1,cohost,2048,0,2.255
marlin,spdz,2,lan,1024,0,2.209
marlin,gsz,3,lan,2048,0,2.117
marlin,spdz,3,lan,1024,0,2.253
plonk,spdz,2,lan,512,0,3.1630000000000003
plonk,gsz,3,lan,1024,0,3.096
plonk,spdz,3,lan,512,0,3.174
groth16,local,1,cohost,4096,0,1.014
groth16,gsz,3,lan,4096,0,1.155
groth16,spdz,2,lan,2048,0,1.279
groth16,spdz,3,lan,2048,0,1.287
marlin,local,1,cohost,1024,0,1.252
plonk,local,1,cohost,512,0,1.553
marlin,spdz,2,lan,512,0,1.266
marlin,gsz,3,lan,1024,0,1.224
plonk,gsz,3,lan,512,0,1.7726666666666666
marlin,spdz,3,lan,512,0,1.289
groth16,local,1,cohost,2048,0,0.625703
plonk,spdz,3,lan,256,0,1.7983333333333331
plonk,spdz,2,lan,256,0,1.794
groth16,spdz,2,lan,1024,0,0.722127
groth16,gsz,3,lan,2048,0,0.705352
groth16,spdz,3,lan,1024,0,0.7522343333333333
marlin,local,1,cohost,512,0,0.758572
marlin,gsz,3,lan,512,0,0.7063566666666666
plonk,local,1,cohost,256,0,0.8720220000000001
marlin,spdz,3,lan,256,0,0.7549076666666666
plonk,gsz,3,lan,256,0,1.0556666666666665
marlin,spdz,2,lan,256,0,0.751334
groth16,local,1,cohost,1024,0,0.346114
plonk,spdz,2,lan,128,0,1.1655
plonk,spdz,3,lan,128,0,1.193
groth16,spdz,3,lan,512,0,0.4286130000000001
groth16,gsz,3,lan,1024,0,0.415232
marlin,local,1,cohost,256,0,0.43215800000000004
groth16,spdz,2,lan,512,0,0.415324
marlin,gsz,3,lan,256,0,0.441808
plonk,gsz,3,lan,128,0,0.7168703333333334
plonk,local,1,cohost,128,0,0.5690080000000001
marlin,spdz,3,lan,128,0,0.46875500000000003
groth16,local,1,cohost,512,0,0.19833
marlin,spdz,2,lan,128,0,0.45945650000000005
plonk,spdz,2,lan,64,0,0.7033565
plonk,spdz,3,lan,64,0,0.7224846666666666
groth16,gsz,3,lan,512,0,0.26421133333333335
groth16,spdz,3,lan,256,0,0.306234
marlin,local,1,cohost,128,0,0.258089
groth16,spdz,2,lan,256,0,0.285511
marlin,gsz,3,lan,128,0,0.302973
plonk,local,1,cohost,64,0,0.330706
plonk,gsz,3,lan,64,0,0.456607
marlin,spdz,2,lan,64,0,0.2914095
marlin,spdz,3,lan,64,0,0.298105
groth16,local,1,cohost,256,0,0.13465100000000002
plonk,spdz,2,lan,32,0,0.432676
plonk,spdz,3,lan,32,0,0.439193
groth16,gsz,3,lan,256,0,0.19734633333333337
groth16,spdz,3,lan,128,0,0.175632
groth16,spdz,2,lan,128,0,0.1702525
marlin,local,1,cohost,64,0,0.15939599999999998
plonk,local,1,cohost,32,0,0.19328299999999998
marlin,gsz,3,lan,64,0,0.208022
marlin,spdz,2,lan,32,0,0.19121900000000003
plonk,gsz,3,lan,32,0,0.3162393333333333
marlin,spdz,3,lan,32,0,0.19691466666666665
groth16,local,1,cohost,128,0,0.078169
plonk,spdz,2,lan,16,0,0.3195035
plonk,spdz,3,lan,16,0,0.32587400000000005
groth16,gsz,3,lan,128,0,0.13804466666666668
groth16,spdz,3,lan,64,0,0.11600666666666666
marlin,local,1,cohost,32,0,0.143733
groth16,spdz,2,lan,64,0,0.13275900000000002
plonk,local,1,cohost,16,0,0.13802
marlin,gsz,3,lan,32,0,0.14317566666666667
plonk,gsz,3,lan,16,0,0.25238000000000005
marlin,spdz,3,lan,16,0,0.13698533333333332
marlin,spdz,2,lan,16,0,0.1304605
groth16,local,1,cohost,64,0,0.047812
plonk,spdz,3,lan,8,0,0.18836266666666668
plonk,spdz,2,lan,8,0,0.182032
groth16,gsz,3,lan,64,0,0.10574733333333335
marlin,local,1,cohost,16,0,0.065541
groth16,spdz,2,lan,32,0,0.0850165
groth16,spdz,3,lan,32,0,0.090337
plonk,local,1,cohost,8,0,0.068122
marlin,gsz,3,lan,16,0,0.099847
plonk,gsz,3,lan,8,0,0.16293566666666667
marlin,spdz,3,lan,8,0,0.102408
marlin,spdz,2,lan,8,0,0.0977185
groth16,local,1,cohost,32,0,0.035686
plonk,spdz,2,lan,4,0,0.129102
plonk,spdz,3,lan,4,0,0.141591
marlin,local,1,cohost,8,0,0.042441000000000006
groth16,gsz,3,lan,32,0,0.10871466666666667
groth16,spdz,3,lan,16,0,0.052332333333333335
groth16,spdz,2,lan,16,0,0.0475515
plonk,local,1,cohost,4,0,0.043451000000000004
marlin,gsz,3,lan,8,0,0.11227966666666667
plonk,gsz,3,lan,4,0,0.15596200000000002
marlin,spdz,2,lan,4,0,0.070522
marlin,spdz,3,lan,4,0,0.07546199999999999
groth16,local,1,cohost,16,0,0.017134
plonk,spdz,3,lan,2,0,0.11330366666666668
plonk,spdz,2,lan,2,0,0.10227349999999999
marlin,local,1,cohost,4,0,0.030102
groth16,gsz,3,lan,16,0,0.07092433333333334
groth16,spdz,3,lan,8,0,0.043312333333333335
groth16,spdz,2,lan,8,0,0.038344500000000004
plonk,local,1,cohost,2,0,0.030891
marlin,gsz,3,lan,4,0,0.06701366666666665
marlin,spdz,3,lan,2,0,0.064761
plonk,gsz,3,lan,2,0,0.14264500000000002
marlin,spdz,2,lan,2,0,0.0582445
groth16,local,1,cohost,8,0,0.012529
groth16,gsz,3,lan,8,0,0.061350666666666664
groth16,spdz,2,lan,4,0,0.032907000000000006
marlin,local,1,cohost,2,0,0.022661999999999998
groth16,local,1,cohost,4,0,0.009833
