proof_system,alg,parties,net,size,trial,time
plonk,gsz,3,lan,524288,2,882.6946666666666
plonk,local,1,cohost,1048576,0,1430.934
plonk,gsz,3,lan,524288,1,945.7846666666666
plonk,spdz,3,lan,524288,2,1674.0829999999999
plonk,spdz,3,lan,524288,1,1674.7453333333335
plonk,local,1,cohost,1048576,2,1552.408
plonk,local,1,cohost,1048576,1,1565.246
plonk,local,1,cohost,524288,1,737.471
plonk,gsz,3,lan,524288,0,902.3943333333333
plonk,local,1,cohost,524288,2,786.135
plonk,local,1,cohost,524288,0,791.618
groth16,spdz,3,lan,1048576,2,323.3283333333333
groth16,spdz,3,lan,1048576,1,315.388
plonk,spdz,2,lan,524288,0,1590.992
plonk,spdz,3,lan,524288,0,1624.5826666666665
plonk,spdz,2,lan,524288,2,1625.2805
plonk,spdz,2,lan,524288,1,1647.6264999999999
plonk,spdz,3,lan,262144,2,839.5866666666667
groth16,spdz,3,lan,1048576,0,331.849
groth16,spdz,2,lan,1048576,1,317.213
groth16,spdz,2,lan,1048576,2,320.422
groth16,spdz,2,lan,1048576,0,328.957
plonk,spdz,3,lan,262144,0,830.466
plonk,spdz,2,lan,262144,1,827.998
plonk,spdz,3,lan,262144,1,841.3926666666666
plonk,spdz,2,lan,262144,2,842.9295
plonk,spdz,2,lan,262144,0,862.0415
plonk,gsz,3,lan,262144,2,467.7816666666667
plonk,gsz,3,lan,262144,1,451.70599999999996
plonk,gsz,3,lan,262144,0,448.06333333333333
marlin,spdz,3,lan,262144,2,365.298
marlin,spdz,3,lan,262144,1,368.04
plonk,local,1,cohost,262144,0,376.073
groth16,gsz,3,lan,1048576,2,177.595
marlin,spdz,3,lan,262144,0,383.3419999999999
marlin,spdz,2,lan,262144,2,360.466
plonk,local,1,cohost,262144,1,419.074
plonk,local,1,cohost,262144,2,426.313
marlin,spdz,2,lan,262144,1,366.171
marlin,spdz,2,lan,262144,0,374.365
plonk,spdz,3,lan,131072,2,429.16266666666667
plonk,spdz,2,lan,131072,2,426.9355
plonk,spdz,3,lan,131072,1,430.4283333333333
plonk,spdz,3,lan,131072,0,434.33599999999996
marlin,local,1,cohost,524288,2,366.197
plonk,spdz,2,lan,131072,1,437.61249999999995
plonk,spdz,2,lan,131072,0,420.522
marlin,local,1,cohost,524288,0,385.744
groth16,gsz,3,lan,1048576,1,166.063
groth16,gsz,3,lan,1048576,0,162.303
marlin,local,1,cohost,524288,1,444.899
